Tweet/Document | Cosine Similarity
pilipinx american org co-found undergrad first in-person pacn show run through shake em bit lol|0.0
rn jerk chicken|0.0
njbearsfan d_hest23 lol love|0.0
souk sabah bayram namaz ardndan scak ekmek gevrek ile gzel bir ailecek sabah kahvalt .. iyibayramlar|0.0
suga_swt fluster|0.0
dummy_ph way job im vegetarian duti|0.0
irons1de1 cigarchairman calvinthomps99 mike_w_simpson bigbucky24 chacocii writercimasuda blaineblain thunder13tc amashbi hailie_ann_ themitch182 philvamo jarmhabano nelaperezb erickmichau davidsinagawa coachenkhorn feriotegocigar oilersfann83 chrismo12365268 mcornell03 shagrax5 anthonyerekat nanaimodud macwil22 sigurdson_chri jordan4cigar cigarboxboy 's good stick|0.0
brocklanders41 sister jean|0.0
colleg footbal nfl need come back soon enough red go look histor bad season n't think 'm go encourag bad product team thank terribl red fo least ohiostatefband dallascowboy|0.0
williehandl dental plaqu friend like complet karmic record|0.0
id prolli jayson tatum jersey team celtic|0.0
lakotaman1 woozleweasel heart ach know done|0.0
anyon go basebal game|0.0
final back home readi bingewatch thing toast otv+f wooohoooo|0.0
northsidenotch that nasti get though scotti b debut next buy|0.0
tiph1981 look delici tiphani|0.0
wonder use unus xxx content|0.0
cryptokanucknft drewskiiinft apocalypticap aapequeen yeah hunt 2k lower rank .. lol|0.0
even tho friday weekend still flew|0.0
mysterysolv abus talk groom|0.0
cuanto drama est sucediendo yo tan lejo|0.0
darbybaileyxo 's pretti hard get win love much|0.0
raisinsomniaqu nuuuu|0.0
bafv07 bbi boy dont got shit name lmaooooooooooo|0.0
birthday month|0.0
shanjeniah oh btw id love hot chocol thank|0.0
mlhbreeisland cap|0.0
pittsburghsport put lot faith matt canada given much happi past season|0.0
sometim press notifi anyway|0.0
byjonheathdang quick|0.0
accid hit run cold 4300 se 122nd ave port portland polic pp22000115491 21:14 pdx911|0.0
unwant person 7400 n ida ave port portland polic pp22000115526 21:15 pdx911|0.0
ejlowe1980 dalekanzl pleas reread tweet tell think said|0.0
howiehighart tlecaqu got ordain one wed close friend dump us kid fun havent done sinc|0.0
fresysaracho saw ankl monitor skimpi looker chick ... question charact ....|0.0
sometim look mirror say im proud|0.0
em0n33i niftygateway queen queen shit|0.0
yo 's one chick everi time see pic ig whatev fabric wear cooch like damn babi let bih breath|0.0
homeless atlanta funni man gone start danc wipe window lmao|0.0
ihavedreamanna un believ|0.0
aaaaaand brake car lock awesom aaa come|0.0
yo tena un pequeo muro entr ello yo por que obvio son ms jvene tanto el medio del circuit tien su famita de la cual slo la de que la persona en ese medio eran odiosa creda era realment la nica que molestaba pero segu hablando con ello|0.0
superraregam want guy know finish game speech end made cri thank word encourag|0.0
barou2a5barou2a gebran_bassil|0.0
reggie_d33|0.0
lovrega ecatepec la 12 bajando de la combi|0.0
skoljic1 joshuawsearci vd_jojo_ sentdefend ye cant use ukrain aton bush pointless militari oper|0.0
andreaphilina philllll miss youuu|0.0
final got see clooneeuk absolut vibehttp //t.co/dg9hdvqauk|0.0
chang plan guess least got class next semest|0.0
noahverri rich|0.0
mommydearest_og dbencoomb failurebiden actforamerica keep immigr cuz america keep bomb countri|0.0
world tour ya girl tour|0.0
tinash like use|0.0
